Div,Team ID,Team,Opp ID,Opp,Date,Location
FBS,721,Air Force,483,Nicholls St.,8/30/14,Home
FBS,721,Air Force,811,Wyoming,9/6/14,Away
FBS,721,Air Force,254,Georgia St.,9/13/14,Away
FBS,721,Air Force,66,Boise St.,9/27/14,Home
FBS,721,Air Force,726,Navy,10/4/14,Home
FBS,721,Air Force,731,Utah St.,10/11/14,Away
FBS,721,Air Force,473,New Mexico,10/18/14,Home
FBS,721,Air Force,725,Army,11/1/14,Away
FBS,721,Air Force,465,UNLV,11/8/14,Away
FBS,721,Air Force,466,Nevada,11/15/14,Home
FBS,721,Air Force,626,San Diego St.,11/21/14,Away
FBS,721,Air Force,156,Colorado St.,11/28/14,Home
FBS,5,Akron,290,Howard,8/28/14,Home
FBS,5,Akron,539,Penn St.,9/6/14,Away
FBS,5,Akron,388,Marshall,9/20/14,Home
FBS,5,Akron,545,Pittsburgh,9/27/14,Away
FBS,5,Akron,204,Eastern Mich.,10/4/14,Home
FBS,5,Akron,414,Miami (OH),10/11/14,Home
FBS,5,Akron,519,Ohio,10/18/14,Away
FBS,5,Akron,47,Ball St.,10/25/14,Away
FBS,5,Akron,71,Bowling Green,11/4/14,Home
FBS,5,Akron,86,Buffalo,11/11/14,Away
FBS,5,Akron,400,Massachusetts,11/18/14,Home
FBS,5,Akron,331,Kent St.,11/25/14,Away
FBS,8,Alabama,768,West Virginia,8/30/14,Neutral
FBS,8,Alabama,229,Fla. Atlantic,9/6/14,Home
FBS,8,Alabama,664,Southern Miss.,9/13/14,Home
FBS,8,Alabama,235,Florida,9/20/14,Home
FBS,8,Alabama,433,Ole Miss,10/4/14,Away
FBS,8,Alabama,31,Arkansas,10/11/14,Away
FBS,8,Alabama,697,Texas A&M,10/18/14,Home
FBS,8,Alabama,694,Tennessee,10/25/14,Away
FBS,8,Alabama,365,LSU,11/8/14,Away
FBS,8,Alabama,430,Mississippi St.,11/15/14,Home
FBS,8,Alabama,769,Western Caro.,11/22/14,Home
FBS,8,Alabama,37,Auburn,11/29/14,Home
FBS,29,Arizona,465,UNLV,8/29/14,Home
FBS,29,Arizona,706,UTSA,9/4/14,Away
FBS,29,Arizona,466,Nevada,9/13/14,Home
FBS,29,Arizona,107,California,9/20/14,Home
FBS,29,Arizona,529,Oregon,10/2/14,Away
FBS,29,Arizona,657,Southern California,10/11/14,Home
FBS,29,Arizona,754,Washington St.,10/25/14,Away
FBS,29,Arizona,110,UCLA,11/1/14,Away
FBS,29,Arizona,157,Colorado,11/8/14,Home
FBS,29,Arizona,756,Washington,11/15/14,Home
FBS,29,Arizona,732,Utah,11/22/14,Away
FBS,29,Arizona,28,Arizona St.,11/28/14,Home
FBS,28,Arizona St.,758,Weber St.,8/28/14,Home
FBS,28,Arizona St.,473,New Mexico,9/6/14,Away
FBS,28,Arizona St.,157,Colorado,9/13/14,Away
FBS,28,Arizona St.,110,UCLA,9/25/14,Home
FBS,28,Arizona St.,657,Southern California,10/4/14,Away
FBS,28,Arizona St.,674,Stanford,10/18/14,Home
FBS,28,Arizona St.,756,Washington,10/25/14,Away
FBS,28,Arizona St.,732,Utah,11/1/14,Home
FBS,28,Arizona St.,513,Notre Dame,11/8/14,Home
FBS,28,Arizona St.,528,Oregon St.,11/15/14,Away
FBS,28,Arizona St.,754,Washington St.,11/22/14,Home
FBS,28,Arizona St.,29,Arizona,11/28/14,Away
FBS,31,Arkansas,37,Auburn,8/30/14,Away
FBS,31,Arkansas,483,Nicholls St.,9/6/14,Home
FBS,31,Arkansas,700,Texas Tech,9/13/14,Away
FBS,31,Arkansas,503,Northern Ill.,9/20/14,Home
FBS,31,Arkansas,697,Texas A&M,9/27/14,Neutral
FBS,31,Arkansas,8,Alabama,10/11/14,Home
FBS,31,Arkansas,257,Georgia,10/18/14,Home
FBS,31,Arkansas,9,UAB,10/25/14,Home
FBS,31,Arkansas,430,Mississippi St.,11/1/14,Away
FBS,31,Arkansas,365,LSU,11/15/14,Home
FBS,31,Arkansas,433,Ole Miss,11/22/14,Home
FBS,31,Arkansas,434,Missouri,11/28/14,Away
FBS,30,Arkansas St.,440,Montana St.,8/30/14,Home
FBS,30,Arkansas St.,694,Tennessee,9/6/14,Away
FBS,30,Arkansas St.,415,Miami (FL),9/13/14,Away
FBS,30,Arkansas St.,731,Utah St.,9/20/14,Home
FBS,30,Arkansas St.,498,La.-Monroe,10/4/14,Home
FBS,30,Arkansas St.,254,Georgia St.,10/11/14,Away
FBS,30,Arkansas St.,671,La.-Lafayette,10/21/14,Away
FBS,30,Arkansas St.,295,Idaho,11/1/14,Away
FBS,30,Arkansas St.,646,South Ala.,11/8/14,Home
FBS,30,Arkansas St.,27,Appalachian St.,11/15/14,Home
FBS,30,Arkansas St.,670,Texas St.,11/20/14,Away
FBS,30,Arkansas St.,472,New Mexico St.,11/29/14,Home
FBS,725,Army,86,Buffalo,9/6/14,Home
FBS,725,Army,674,Stanford,9/13/14,Away
FBS,725,Army,749,Wake Forest,9/20/14,Away
FBS,725,Army,813,Yale,9/27/14,Away
FBS,725,Army,47,Ball St.,10/4/14,Home
FBS,725,Army,574,Rice,10/11/14,Home
FBS,725,Army,331,Kent St.,10/18/14,Away
FBS,725,Army,721,Air Force,11/1/14,Home
FBS,725,Army,164,UConn,11/8/14,Neutral
FBS,725,Army,772,Western Ky.,11/15/14,Away
FBS,725,Army,236,Fordham,11/22/14,Home
FBS,725,Army,726,Navy,12/13/14,Neutral
FBS,37,Auburn,31,Arkansas,8/30/14,Home
FBS,37,Auburn,630,San Jose St.,9/6/14,Home
FBS,37,Auburn,327,Kansas St.,9/18/14,Away
FBS,37,Auburn,366,Louisiana Tech,9/27/14,Home
FBS,37,Auburn,365,LSU,10/4/14,Home
FBS,37,Auburn,430,Mississippi St.,10/11/14,Away
FBS,37,Auburn,648,South Carolina,10/25/14,Home
FBS,37,Auburn,433,Ole Miss,11/1/14,Away
FBS,37,Auburn,697,Texas A&M,11/8/14,Home
FBS,37,Auburn,257,Georgia,11/15/14,Away
FBS,37,Auburn,625,Samford,11/22/14,Home
FBS,37,Auburn,8,Alabama,11/29/14,Away
FBS,77,BYU,164,UConn,8/29/14,Away
FBS,77,BYU,703,Texas,9/6/14,Away
FBS,77,BYU,288,Houston,9/11/14,Home
FBS,77,BYU,746,Virginia,9/20/14,Home
FBS,77,BYU,731,Utah St.,10/3/14,Home
FBS,77,BYU,128,UCF,10/9/14,Away
FBS,77,BYU,466,Nevada,10/18/14,Home
FBS,77,BYU,66,Boise St.,10/24/14,Away
FBS,77,BYU,419,Middle Tenn.,11/1/14,Away
FBS,77,BYU,465,UNLV,11/15/14,Home
FBS,77,BYU,632,Savannah St.,11/22/14,Home
FBS,77,BYU,107,California,11/29/14,Away
FBS,47,Ball St.,153,Colgate,8/30/14,Home
FBS,47,Ball St.,312,Iowa,9/6/14,Away
FBS,47,Ball St.,305,Indiana St.,9/13/14,Home
FBS,47,Ball St.,709,Toledo,9/20/14,Away
FBS,47,Ball St.,725,Army,10/4/14,Away
FBS,47,Ball St.,774,Western Mich.,10/11/14,Home
FBS,47,Ball St.,129,Central Mich.,10/18/14,Away
FBS,47,Ball St.,5,Akron,10/25/14,Home
FBS,47,Ball St.,503,Northern Ill.,11/5/14,Home
FBS,47,Ball St.,400,Massachusetts,11/12/14,Away
FBS,47,Ball St.,204,Eastern Mich.,11/22/14,Home
FBS,47,Ball St.,71,Bowling Green,11/28/14,Away
FBS,51,Baylor,663,SMU,8/31/14,Home
FBS,51,Baylor,508,Northwestern St.,9/6/14,Home
FBS,51,Baylor,86,Buffalo,9/12/14,Away
FBS,51,Baylor,311,Iowa St.,9/27/14,Away
FBS,51,Baylor,703,Texas,10/4/14,Away
FBS,51,Baylor,698,TCU,10/11/14,Home
FBS,51,Baylor,768,West Virginia,10/18/14,Away
FBS,51,Baylor,328,Kansas,11/1/14,Home
FBS,51,Baylor,522,Oklahoma,11/8/14,Away
FBS,51,Baylor,521,Oklahoma St.,11/22/14,Home
FBS,51,Baylor,700,Texas Tech,11/29/14,Neutral
FBS,51,Baylor,327,Kansas St.,12/6/14,Home
FBS,66,Boise St.,433,Ole Miss,8/28/14,Neutral
FBS,66,Boise St.,156,Colorado St.,9/6/14,Home
FBS,66,Boise St.,164,UConn,9/13/14,Away
FBS,66,Boise St.,671,La.-Lafayette,9/20/14,Home
FBS,66,Boise St.,721,Air Force,9/27/14,Away
FBS,66,Boise St.,466,Nevada,10/4/14,Away
FBS,66,Boise St.,96,Fresno St.,10/17/14,Home
FBS,66,Boise St.,77,BYU,10/24/14,Home
FBS,66,Boise St.,473,New Mexico,11/8/14,Away
FBS,66,Boise St.,626,San Diego St.,11/15/14,Home
FBS,66,Boise St.,811,Wyoming,11/22/14,Away
FBS,66,Boise St.,731,Utah St.,11/29/14,Home
FBS,67,Boston College,400,Massachusetts,8/30/14,Away
FBS,67,Boston College,545,Pittsburgh,9/5/14,Home
FBS,67,Boston College,657,Southern California,9/13/14,Home
FBS,67,Boston College,380,Maine,9/20/14,Home
FBS,67,Boston College,156,Colorado St.,9/27/14,Home
FBS,67,Boston College,490,North Carolina St.,10/11/14,Away
FBS,67,Boston College,147,Clemson,10/18/14,Home
FBS,67,Boston College,749,Wake Forest,10/25/14,Away
FBS,67,Boston College,742,Virginia Tech,11/1/14,Away
FBS,67,Boston College,367,Louisville,11/8/14,Home
FBS,67,Boston College,234,Florida St.,11/22/14,Away
FBS,67,Boston College,688,Syracuse,11/29/14,Home
FBS,71,Bowling Green,772,Western Ky.,8/29/14,Away
FBS,71,Bowling Green,741,VMI,9/6/14,Home
FBS,71,Bowling Green,306,Indiana,9/13/14,Home
FBS,71,Bowling Green,796,Wisconsin,9/20/14,Away
FBS,71,Bowling Green,400,Massachusetts,9/27/14,Away
FBS,71,Bowling Green,86,Buffalo,10/4/14,Home
FBS,71,Bowling Green,519,Ohio,10/11/14,Away
FBS,71,Bowling Green,774,Western Mich.,10/18/14,Home
FBS,71,Bowling Green,5,Akron,11/4/14,Away
FBS,71,Bowling Green,331,Kent St.,11/12/14,Home
FBS,71,Bowling Green,709,Toledo,11/19/14,Away
FBS,71,Bowling Green,47,Ball St.,11/28/14,Home
FBS,86,Buffalo,194,Duquesne,8/30/14,Home
FBS,86,Buffalo,725,Army,9/6/14,Away
FBS,86,Buffalo,51,Baylor,9/12/14,Home
FBS,86,Buffalo,485,Norfolk St.,9/20/14,Home
FBS,86,Buffalo,414,Miami (OH),9/27/14,Home
FBS,86,Buffalo,71,Bowling Green,10/4/14,Away
FBS,86,Buffalo,204,Eastern Mich.,10/11/14,Away
FBS,86,Buffalo,129,Central Mich.,10/25/14,Home
FBS,86,Buffalo,519,Ohio,11/5/14,Away
FBS,86,Buffalo,5,Akron,11/11/14,Home
FBS,86,Buffalo,331,Kent St.,11/19/14,Home
FBS,86,Buffalo,400,Massachusetts,11/28/14,Away
FBS,107,California,509,Northwestern,8/30/14,Away
FBS,107,California,102,Sacramento St.,9/6/14,Home
FBS,107,California,29,Arizona,9/20/14,Away
FBS,107,California,157,Colorado,9/27/14,Home
FBS,107,California,754,Washington St.,10/4/14,Away
FBS,107,California,756,Washington,10/11/14,Home
FBS,107,California,110,UCLA,10/18/14,Home
FBS,107,California,529,Oregon,10/24/14,Neutral
FBS,107,California,528,Oregon St.,11/1/14,Away
FBS,107,California,657,Southern California,11/13/14,Away
FBS,107,California,674,Stanford,11/22/14,Home
FBS,107,California,77,BYU,11/29/14,Home
FBS,129,Central Mich.,693,Chattanooga,8/28/14,Home
FBS,129,Central Mich.,559,Purdue,9/6/14,Away
FBS,129,Central Mich.,688,Syracuse,9/13/14,Home
FBS,129,Central Mich.,328,Kansas,9/20/14,Away
FBS,129,Central Mich.,709,Toledo,9/27/14,Away
FBS,129,Central Mich.,519,Ohio,10/4/14,Home
FBS,129,Central Mich.,503,Northern Ill.,10/11/14,Away
FBS,129,Central Mich.,47,Ball St.,10/18/14,Home
FBS,129,Central Mich.,86,Buffalo,10/25/14,Away
FBS,129,Central Mich.,204,Eastern Mich.,11/1/14,Away
FBS,129,Central Mich.,414,Miami (OH),11/15/14,Home
FBS,129,Central Mich.,774,Western Mich.,11/22/14,Home
FBS,140,Cincinnati,709,Toledo,9/12/14,Home
FBS,140,Cincinnati,414,Miami (OH),9/20/14,Home
FBS,140,Cincinnati,518,Ohio St.,9/27/14,Away
FBS,140,Cincinnati,404,Memphis,10/4/14,Home
FBS,140,Cincinnati,415,Miami (FL),10/11/14,Away
FBS,140,Cincinnati,663,SMU,10/18/14,Away
FBS,140,Cincinnati,651,South Fla.,10/24/14,Home
FBS,140,Cincinnati,718,Tulane,10/31/14,Away
FBS,140,Cincinnati,196,East Carolina,11/13/14,Home
FBS,140,Cincinnati,164,UConn,11/22/14,Away
FBS,140,Cincinnati,690,Temple,11/29/14,Away
FBS,140,Cincinnati,288,Houston,12/6/14,Home
FBS,147,Clemson,257,Georgia,8/30/14,Away
FBS,147,Clemson,647,South Carolina St.,9/6/14,Home
FBS,147,Clemson,234,Florida St.,9/20/14,Away
FBS,147,Clemson,457,North Carolina,9/27/14,Home
FBS,147,Clemson,490,North Carolina St.,10/4/14,Home
FBS,147,Clemson,367,Louisville,10/11/14,Home
FBS,147,Clemson,67,Boston College,10/18/14,Away
FBS,147,Clemson,688,Syracuse,10/25/14,Home
FBS,147,Clemson,749,Wake Forest,11/6/14,Away
FBS,147,Clemson,255,Georgia Tech,11/15/14,Away
FBS,147,Clemson,254,Georgia St.,11/22/14,Home
FBS,147,Clemson,648,South Carolina,11/29/14,Home
